WKT,Id
"MULTIPOLYGON (((222749.372350076 97550.6814339813,222750.033809733 97557.9574902039,222752.679648357 97561.9262481388,222769.216139765 97563.9106271081,222789.721389107 97557.2960305475,222808.903719139 97551.3428936433,222829.408968481 97548.6970550139,222845.284000232 97546.05121639,222857.851733701 97532.1605636086,222879.018442702 97511.6553142667,222895.554934108 97486.519847326,222898.200772734 97459.4000014197,222892.909095484 97431.6186958607,222875.049684766 97409.7905272022,222853.882975765 97388.6238182038,222836.023565045 97380.6863023266,222820.148533295 97386.6394392345,222797.658904982 97399.8686323613,222784.429711856 97407.8061482329,222773.846357358 97407.1446885765,222754.664027327 97420.3738817032,222732.835858671 97440.2176713888,222718.283746233 97451.4624855462,222702.408714483 97458.0770821068,222696.455577577 97477.9208717924,222699.1014162 97505.7021773569,222708.361851388 97524.884507386,222719.606665545 97544.0668374207,222742.757753514 97546.7126760464,222749.372350076 97550.6814339813)))","0"
"MULTIPOLYGON (((220012.483803382 90866.808999002,220032.32759307 90882.0225710962,220060.108898634 90893.9288449101,220097.812099038 90903.8507397547,220121.624646666 90901.2049011309,220156.682008445 90887.9757080059,220196.36958782 90858.8714831304,220222.827974071 90833.0745565351,220263.177013102 90788.0952999089,220275.083286915 90764.9442119431,220286.328101071 90725.2566325665,220288.973939697 90686.8919725008,220279.713504507 90669.6940214392,220251.270739291 90639.2668772507,220211.583159913 90613.4699506611,220156.682008445 90592.3032416571,220108.39545354 90596.2719995994,220086.567284883 90608.1782734077,220048.20262482 90629.3449824098,220029.681754444 90646.5429334715,219997.270231288 90703.4284639116,219980.733739883 90757.0066960659,219978.749360914 90816.538065128,219988.009796102 90844.9808303472,220012.483803382 90866.808999002)))","0"
"MULTIPOLYGON (((208383.346954514 79664.3062120527,208392.607389701 79668.9364296459,208414.435558357 79679.5197841469,208451.477299108 79689.4416789934,208478.597145014 79681.5041631162,208483.227362608 79651.0770189278,208485.873201231 79617.3425764609,208503.071152296 79545.2434739266,208477.274225701 79524.07676493,208452.138758764 79513.4934104271,208417.081396982 79486.3735645209,208354.904189294 79489.0194031447,208313.893690608 79497.6183786783,208290.742602639 79518.1236280203,208272.221732263 79547.8893125523,208274.206111231 79604.7748429906,208283.46654642 79640.4936644267,208303.310336106 79653.7228575516,208342.336455828 79662.3218330797,208383.346954514 79664.3062120527)))","0"
"MULTIPOLYGON (((203292.863683268 80134.780416891,203315.882479305 80144.3054359388,203351.601300743 80145.8929391149,203395.257638057 80124.4616462532,203463.520274583 80064.1365255993,203460.345268232 80030.7989589255,203453.995255533 79985.5551184416,203450.026497594 79949.0425454155,203438.913975368 79927.6112525538,203380.970109482 79907.7674628627,203336.520020582 79900.6236985754,203303.976205494 79909.3549660388,203296.038689619 79934.755016841,203265.876129293 79942.6925327126,203243.651084843 79968.886335101,203219.838537219 80026.0364494026,203219.838537219 80066.5177803654,203238.094823732 80103.0303533878,203259.526116593 80120.4928883128,203292.863683268 80134.780416891)))","0"
"MULTIPOLYGON (((201825.534498611 73757.7801628895,201865.222077985 73760.95516924,201900.147147836 73756.1926597152,201925.547198636 73736.3488700241,201953.328504197 73706.9800612889,201962.853523247 73651.4174501617,201939.83472721 73576.8048009388,201877.922103384 73545.0547374357,201800.928199398 73514.0984255262,201739.809327159 73551.4047501367,201725.521798586 73602.9986033235,201731.078059697 73644.2736858744,201739.015575572 73672.8487430234,201769.971887483 73726.0300993845,201825.534498611 73757.7801628895)))","0"
"MULTIPOLYGON (((203859.886744399 70054.454961095,203894.811814247 70083.0300182495,203926.561877749 70092.5550372973,203970.21821506 70082.2362666596,204013.874552374 70063.186228564,204032.924590474 70038.5799293499,204040.862106349 70002.0673563238,204021.812068248 69963.9672801234,203977.361979348 69930.6297134478,203941.643157911 69928.2484586872,203912.274349173 69942.5359872617,203878.14303091 69969.5235412344,203840.836706298 70001.2736047395,203840.04295471 70022.7048976012,203844.805464237 70039.3736809362,203859.886744399 70054.454961095)))","0"
"MULTIPOLYGON (((205908.400841426 69953.1775502134,205894.510188647 69925.3962446507,205864.744504113 69913.4899708368,205823.734005426 69916.1358094607,205786.03080502 69932.0108412094,205776.108910176 69965.7452836782,205791.32248227 69999.479726145,205823.07254577 70006.0943227112,205862.760125144 70002.1255647745,205899.140406239 69988.2349119931,205914.353978332 69975.0057188682,205908.400841426 69953.1775502134)))","0"
"MULTIPOLYGON (((206081.041811708 70299.7824100852,206098.23976277 70302.4282487091,206122.052310395 70301.1053293981,206133.297124553 70286.5532169603,206145.86485802 70266.7094272748,206141.896100083 70230.3291461822,206120.067931427 70201.2249213066,206074.427215145 70197.9176230263,206050.614667521 70214.4541144315,206043.338611302 70239.5895813666,206053.921965801 70277.9542414322,206081.041811708 70299.7824100852)))","0"
"MULTIPOLYGON (((205032.925913393 68735.412684124,205050.388448318 68739.6460259221,205077.905170018 68741.2335290983,205098.542711291 68733.8251809534,205113.88857532 68716.8918137494,205133.467781145 68679.8500730004,205138.230290669 68654.4500221983,205134.526116594 68603.1207528766,205120.767755744 68574.5456957277,205089.017692244 68557.6123285238,205055.150957842 68565.549844401,205027.105068417 68592.5373983756,204999.059178993 68617.9374491777,204991.121663119 68644.9250031505,204994.825837194 68678.7917375527,205001.175849893 68705.2501237988,205016.521713918 68724.8293296266,205032.925913393 68735.412684124)))","0"
"MULTIPOLYGON (((208432.420646411 65916.1834345572,208465.22904536 65950.0501689538,208500.15411521 65970.1585425027,208534.020849613 65982.8585679065,208575.29593216 65993.4419224039,208605.987660212 65986.0335742589,208667.371116313 65956.4001816567,208708.64619886 65917.2417700049,208724.521230611 65874.9083520044,208738.279591463 65826.2249213066,208730.871243312 65783.8915033042,208687.479489863 65734.1497371532,208637.737723711 65702.3996736538,208571.062590361 65675.9412874077,208519.204153311 65682.2913001049,208475.812399861 65697.107996406,208446.179007262 65715.0996990576,208417.60395011 65752.1414398048,208389.028892959 65802.9415414054,208385.853886611 65851.6249721032,208400.670582909 65877.0250229072,208432.420646411 65916.1834345572)))","0"
"MULTIPOLYGON (((213506.861316125 69728.3959200904,213536.494708725 69731.5709264409,213573.536449475 69719.9292364921,213588.353145776 69701.9375338443,213587.294810326 69658.5457803886,213592.586487576 69608.8040142432,213577.769791275 69571.7622734904,213553.428075926 69542.1288808919,213513.211328825 69533.6621972937,213479.344594426 69552.7122353893,213457.119549976 69586.5789697915,213451.827872725 69638.4374068398,213428.544492825 69652.1957676932,213456.061214525 69693.4708502404,213506.861316125 69728.3959200904)))","0"
